id,source,campaign,claim_or_fix,source_evidence,head_status_272f216c,runtime_evidence,decision
LED-001,Agent report RESULT_001,c009-011,long arithmetic 64-bit (2^32+1 != 1),agent RESULT ledger + v0.13.0 engine,FALSE at v0.13.0 (int32 union read),semantic_long_cmp_conv_test 3 cases + parseLong 2^32,VERIFIED_IMPLEMENTED
LED-002,Agent report RESULT_009,c011,cmp-long three-branch semantics,agent RESULT ledger,FALSE at v0.13.0 (returned 0 always),semantic_long_cmp_conv_test 3 cases,VERIFIED_IMPLEMENTED
LED-003,Agent report RESULT_010,c011,real numeric conversions (not tag swaps),agent RESULT ledger,PARTIAL at v0.13.0 (5 of 12 ops real),semantic_long_cmp_conv 5 cases + pass3 CV matrix 14 cases,VERIFIED_IMPLEMENTED
LED-004,Master checklist §5,pass3,12x register encoding runtime proof (distinct registers),K-05 + fixture,"fixed Pass-1 (6fda28d)",add-long/2addr + neg/not vA!=vB cases; reversed nibbles would fail,VERIFIED_IMPLEMENTED
LED-005,Agent report RESULT_012,exp018,parseInt/parseLong/parseFloat/parseDouble implemented ("NATIVE_CPP"),exp018_main.cpp plan JSON,report-only claim (plan never wired),pass3 fixture PS group 8 cases incl. MAX/MIN/NFE boundaries,VERIFIED_IMPLEMENTED
LED-006,Agent report RESULT_013,exp018,String.substring/concat bridges,exp018 claim,report-only claim,pass3 PS substring/concat 7 cases incl. SIOOBE + unicode,VERIFIED_IMPLEMENTED
LED-007,Agent report RESULT_014,c013,Canvas matrix ops accepted,canvas_shadow.cpp 237-239,dispatch present,source inspection + golden stability,PARTIALLY VERIFIED (composition semantics open — NOT_DONE #15)
LED-008,Agent report RESULT_016,c013,ARSC @string/ value-path resolution,FIX-013-04 (b9d93cc),implemented,c013_arsc_probe on real APK: 3/3 layouts (re-run this pass),VERIFIED_IMPLEMENTED
LED-009,Agent report RESULT_003,exp043,System.currentTimeMillis real clock,dalvik_engine ~11334,implemented (real clock),matrix determinism x3 (hash-pinned evidence),VERIFIED_IMPLEMENTED
LED-010,K-06,pre-011.2,opcode table off-by-1 (0x90..0x9A),inline comments,fixed historically,23x arithmetic fixture pass + audit clean,VERIFIED_IMPLEMENTED
LED-011,K-07,011.2,filled-new-array 35c nibbles,audit M3,fixed @2f05134,unified0112_filled_new_array_test 5/5,VERIFIED_IMPLEMENTED
LED-012,K-08,EXP-088,return-wide dispatch,EXP-088 F5,fixed,exp088_f5_return_wide_test 5/5,VERIFIED_IMPLEMENTED
LED-013,K-09,011.3,typed catch handlers,011.3 campaign,fixed @011.3,unified0113_typed_catch_test 8/8,VERIFIED_IMPLEMENTED
LED-014,K-10,EXP-088,Handler/Looper FIFO,phase F,implemented,exp088_phasef_handler_queue 23/23,VERIFIED_IMPLEMENTED
LED-015,K-11,011.2,ARSC drawable-path dead chain,audit M4,fixed @73e1946,ssw icons golden,VERIFIED_IMPLEMENTED
LED-016,K-12,c013,Dialog/Toast/ArrayAdapter object model,B1,c013 lineage,DIALOG_SURFACE_REPORT + gmdice chain,VERIFIED_IMPLEMENTED
LED-017,K-13,c013,hierarchy shadow dispatch + real-tree inflation,B4/B5,fixed,REAL_APP_MATRIX_013,VERIFIED_IMPLEMENTED
LED-018,K-15,c013,real onDraw(Canvas) custom views,FIX-013-05,fixed,GLES_REPORT bouncy replay + click evidence PNGs,VERIFIED_IMPLEMENTED
LED-019,Pass-2 FIX-01 (K-18),pass2,packed/sparse-switch dispatch,K-18,missing at 0fd1ad6,switch_parse_neg group S 7/7 + pass3 backward/nonzero-key 3 cases,VERIFIED_IMPLEMENTED
LED-020,Pass-2 FIX-02 (K-32),pass2,neg/not family 0x7B..0x80,K-32,absent at 0fd1ad6,switch_parse_neg group N 7/7,VERIFIED_IMPLEMENTED
LED-021,Pass-2 FIX-03 (K-29),pass2,div/rem by zero ArithmeticException,K-29,yield-0 at 0fd1ad6,switch_parse_neg group D 5/5 + pass3 2addr/lit16/23x zero cases,VERIFIED_IMPLEMENTED
LED-022,Pass-2 FIX-04 (K-31),pass2,lit8 table "AOSP-correct",K-31 claim,CLAIMED fixed at 9d095f9,pass3 audit: STILL SHIFTED +3 — real 0xDB ran as ADD; corrected this pass,VERIFIED_MISSING
LED-023,Pass-2 FIX-05 (K-19/20),pass2,parse/substring/concat,K-19/20,missing at 0fd1ad6,switch_parse_neg group P 7/7,VERIFIED_IMPLEMENTED
